week_start_date,queries
2014-06-08,625967
2014-06-15,2717910
2014-06-22,2789060
2014-06-29,2786068
2014-07-06,3004524
2014-07-13,3042165
2014-07-20,3107127
2014-07-27,3024235
2014-08-03,3040443
2014-08-10,2950286
2014-08-17,2786687
2014-08-24,2698525
2014-08-31,2670653
2014-09-07,2675638
2014-09-14,2642083
2014-09-21,2580705
2014-09-28,2524183
2014-10-05,2485615
2014-10-12,2415768
2014-10-19,2355264
2014-10-26,2272354
2014-11-02,2407800
2014-11-09,2345424
2014-11-16,2273225
2014-11-23,2052890
2014-11-30,2220936
