week_start_date,queries,clicks
2014-06-08,625967,338578
2014-06-15,2717910,1431176
2014-06-22,2789060,1438397
2014-06-29,2786068,1421480
2014-07-06,3004524,1528070
2014-07-13,3042165,1534241
2014-07-20,3107127,1547020
2014-07-27,3024235,1541054
2014-08-03,3040443,1551610
2014-08-10,2950286,1501338
2014-08-17,2786687,1411990
2014-08-24,2698525,1372667
2014-08-31,2670653,1401236
2014-09-07,2675638,1414884
2014-09-14,2642083,1389654
2014-09-21,2580705,1331580
2014-09-28,2524183,1313740
2014-10-05,2485615,1287530
2014-10-12,2415768,1245394
2014-10-19,2355264,1207429
2014-10-26,2272354,1162767
2014-11-02,2407800,1235714
2014-11-09,2345424,1201402
2014-11-16,2273225,1168591
2014-11-23,2052890,1054439
2014-11-30,2220936,1134949
