week_start_date,queries,clicks,impressions
2014-06-08,288267,156616,330191
2014-06-15,2717910,1431176,3082785
2014-06-22,2789060,1438397,3154346
2014-06-29,2786068,1421480,3172264
2014-07-06,3004524,1528070,3403927
2014-07-13,3042165,1534241,3412098
2014-07-20,3107127,1547020,3450955
2014-07-27,3024235,1541054,3309065
2014-08-03,3040443,1551610,3343250
2014-08-10,2950286,1501338,3272241
2014-08-17,2786687,1411990,3058937
2014-08-24,2698525,1372667,2955682
2014-08-31,2670653,1401236,2927776
2014-09-07,2675638,1414884,2923297
2014-09-14,2642083,1389654,2888735
2014-09-21,2580705,1331580,2847752
2014-09-28,2524183,1313740,2788724
2014-10-05,2485615,1287530,2774682
2014-10-12,2415768,1245394,2670458
2014-10-19,2355264,1207429,2589904
2014-10-26,2272354,1162767,2527243
2014-11-02,2407800,1235714,2696248
2014-11-09,2345424,1201402,2619531
2014-11-16,2273225,1168591,2524674
2014-11-23,2052890,1054439,2283113
2014-11-30,2220936,1134949,2489659
2014-12-07,304944,157269,342561
